id,initial_charge,output_targets,neuron_type,rules
38,0,"[4411, -4410, 4385, -4384, -5087, 5086, -5061, 5060, -5763, -5762, 5737, 5736, 6439, 6438, -6413, -6412, -7115, 7114, 7089, -7088, 7791, -7790, -7765, 7764]",0,"[0,1,1,1,0]"
39,0,"[4412, -4411, 4386, -4385, -5088, 5087, -5062, 5061, -5764, -5763, 5738, 5737, 6440, 6439, -6414, -6413, -7116, 7115, 7090, -7089, 7792, -7791, -7766, 7765]",0,"[0,1,1,1,0]"
40,0,"[4413, -4412, 4387, -4386, -5089, 5088, -5063, 5062, -5765, -5764, 5739, 5738, 6441, 6440, -6415, -6414, -7117, 7116, 7091, -7090, 7793, -7792, -7767, 7766]",0,"[0,1,1,1,0]"
41,0,"[4414, -4413, 4388, -4387, -5090, 5089, -5064, 5063, -5766, -5765, 5740, 5739, 6442, 6441, -6416, -6415, -7118, 7117, 7092, -7091, 7794, -7793, -7768, 7767]",0,"[0,1,1,1,0]"
42,0,"[4415, -4414, 4389, -4388, -5091, 5090, -5065, 5064, -5767, -5766, 5741, 5740, 6443, 6442, -6417, -6416, -7119, 7118, 7093, -7092, 7795, -7794, -7769, 7768]",0,"[0,1,1,1,0]"
43,0,"[4416, -4415, 4390, -4389, -5092, 5091, -5066, 5065, -5768, -5767, 5742, 5741, 6444, 6443, -6418, -6417, -7120, 7119, 7094, -7093, 7796, -7795, -7770, 7769]",0,"[0,1,1,1,0]"
44,0,"[4417, -4416, 4391, -4390, -5093, 5092, -5067, 5066, -5769, -5768, 5743, 5742, 6445, 6444, -6419, -6418, -7121, 7120, 7095, -7094, 7797, -7796, -7771, 7770]",0,"[0,1,1,1,0]"
45,0,"[4418, -4417, 4392, -4391, -5094, 5093, -5068, 5067, -5770, -5769, 5744, 5743, 6446, 6445, -6420, -6419, -7122, 7121, 7096, -7095, 7798, -7797, -7772, 7771]",0,"[0,1,1,1,0]"
46,0,"[4419, -4418, 4393, -4392, -5095, 5094, -5069, 5068, -5771, -5770, 5745, 5744, 6447, 6446, -6421, -6420, -7123, 7122, 7097, -7096, 7799, -7798, -7773, 7772]",0,"[0,1,1,1,0]"
47,0,"[4420, -4419, 4394, -4393, -5096, 5095, -5070, 5069, -5772, -5771, 5746, 5745, 6448, 6447, -6422, -6421, -7124, 7123, 7098, -7097, 7800, -7799, -7774, 7773]",0,"[0,1,1,1,0]"
48,0,"[4421, -4420, 4395, -4394, -5097, 5096, -5071, 5070, -5773, -5772, 5747, 5746, 6449, 6448, -6423, -6422, -7125, 7124, 7099, -7098, 7801, -7800, -7775, 7774]",0,"[0,1,1,1,0]"
49,0,"[4422, -4421, 4396, -4395, -5098, 5097, -5072, 5071, -5774, -5773, 5748, 5747, 6450, 6449, -6424, -6423, -7126, 7125, 7100, -7099, 7802, -7801, -7776, 7775]",0,"[0,1,1,1,0]"
50,0,"[4423, -4422, 4397, -4396, -5099, 5098, -5073, 5072, -5775, -5774, 5749, 5748, 6451, 6450, -6425, -6424, -7127, 7126, 7101, -7100, 7803, -7802, -7777, 7776]",0,"[0,1,1,1,0]"
51,0,"[4424, -4423, 4398, -4397, -5100, 5099, -5074, 5073, -5776, -5775, 5750, 5749, 6452, 6451, -6426, -6425, -7128, 7127, 7102, -7101, 7804, -7803, -7778, 7777]",0,"[0,1,1,1,0]"
52,0,"[4425, -4424, 4399, -4398, -5101, 5100, -5075, 5074, -5777, -5776, 5751, 5750, 6453, 6452, -6427, -6426, -7129, 7128, 7103, -7102, 7805, -7804, -7779, 7778]",0,"[0,1,1,1,0]"
53,0,"[-4425, -4399, 5101, 5075, -5777, 5751, 6453, -6427, 7129, -7103, -7805, 7779]",0,"[0,1,1,1,0]"
54,0,"[4426, 4400, -5102, -5076, -5778, 5752, 6454, -6428, -7130, 7104, 7806, -7780]",0,"[0,1,1,1,0]"
55,0,"[4427, -4426, 4401, -4400, -5103, 5102, -5077, 5076, -5779, -5778, 5753, 5752, 6455, 6454, -6429, -6428, -7131, 7130, 7105, -7104, 7807, -7806, -7781, 7780]",0,"[0,1,1,1,0]"
