timestamp,params,metrics
2026-03-09 12:51:41,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 3.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 6, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.902, ""LR accuracy"": 0.915, ""time"": 84.77566242218018}"
2026-03-09 13:06:33,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.897, ""LR accuracy"": 0.905, ""time"": 95.38782787322998}"
2026-03-09 13:08:04,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 3, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.909, ""LR accuracy"": 0.921, ""time"": 90.06193971633911}"
2026-03-09 13:09:29,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 4, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.905, ""LR accuracy"": 0.922, ""time"": 85.47491240501404}"
2026-03-09 13:11:03,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 5, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.909, ""LR accuracy"": 0.918, ""time"": 93.79592299461365}"
2026-03-09 13:12:35,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 6, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.898, ""LR accuracy"": 0.908, ""time"": 91.94472885131836}"

2026-03-09 16:54:58,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.482, ""LR accuracy"": 0.51, ""time"": 115.03298377990723}"
2026-03-09 16:56:56,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.464, ""LR accuracy"": 0.508, ""time"": 118.12197995185852}"
2026-03-09 16:58:54,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.452, ""LR accuracy"": 0.516, ""time"": 118.16169381141663}"
